b,a,power
1,2,-0.000663571
3,2,-0.001010629
5,2,-0.0018336
7,2,-0.000625261
9,2,-0.001122311
11,2,-0.001019312
13,2,-0.001092716
15,2,-0.001155343
17,2,-0.001164044
19,2,-0.001077444
21,2,-0.001119594
23,2,-0.001632026
25,2,-0.00160665
27,2,-0.001002356
29,2,-0.001200693
31,2,-0.001120593
33,2,-0.001615604
35,2,-0.001118624
37,2,-0.001092474
39,2,-0.00114223
1,4,-0.000706223
3,4,-0.001444597
5,4,-0.001532509
7,4,-0.001467902
9,4,-0.002259453
11,4,-0.001806406
13,4,-0.001754726
15,4,-0.003037088
17,4,-0.003451792
19,4,-0.002941469
21,4,-0.002108951
23,4,-0.002153807
25,4,-0.001740788
27,4,-0.002166607
29,4,-0.003236417
31,4,-0.003259877
33,4,-0.002405447
35,4,-0.003297645
37,4,-0.002758113
39,4,-0.00237921
1,6,-0.001039428
3,6,-0.002174022
5,6,-0.002694413
7,6,-0.001961374
9,6,-0.002336864
11,6,-0.002361518
13,6,-0.003947135
15,6,-0.003382177
17,6,-0.003261755
19,6,0.003511763
21,6,-0.003787882
23,6,-0.002474371
25,6,-0.001036097
27,6,-0.003808339
29,6,-0.002742089
31,6,-0.004320198
33,6,-0.004837946
35,6,-0.003471391
37,6,-0.003312289
39,6,-0.004041566
1,8,-0.00115097
3,8,-0.001999694
5,8,-0.001889295
7,8,-0.003883156
9,8,-0.002612898
11,8,-0.002894983
13,8,-0.00311387
15,8,-0.003802361
17,8,-0.004926034
19,8,-0.004952614
21,8,-0.003720368
23,8,-0.004785514
25,8,-0.006027556
27,8,-0.006213498
29,8,-0.004060672
31,8,-0.007640863
33,8,-0.001680874
35,8,-0.00175673
37,8,-0.004006425
39,8,-0.001391525
1,10,-0.001380027
3,10,-0.002450889
5,10,-0.003120489
7,10,-0.004536322
9,10,-0.005834699
11,10,-0.005970077
13,10,-0.003198599
15,10,-0.004964353
17,10,-0.005077762
19,10,-0.004656222
21,10,-0.004583762
23,10,-0.004513233
25,10,-0.006775246
27,10,-0.00699365
29,10,-0.006478063
31,10,-0.00470893
33,10,-0.00508597
35,10,-0.004787598
37,10,-0.006359913
39,10,-0.002191554
1,12,-0.001415145
3,12,-0.002302304
5,12,-0.003726221
7,12,-0.004275949
9,12,-0.004817109
11,12,-0.006465362
13,12,-0.004147782
15,12,-0.004166879
17,12,-0.004990944
19,12,-0.005133279
21,12,-0.004579861
23,12,-0.007361396
25,12,-0.006736025
27,12,-0.005774143
29,12,-0.006761136
31,12,-0.004941845
33,12,-0.005229541
35,12,-0.010499164
37,12,-0.005768193
39,12,-0.008088142
1,14,-0.001198205
3,14,-0.002473555
5,14,-0.003623609
7,14,-0.003680182
9,14,-0.00569088
11,14,-0.006406086
13,14,-0.007125761
15,14,-0.006231699
17,14,-0.005435308
19,14,-0.005658867
21,14,-0.005452511
23,14,-0.00626306
25,14,-0.009539152
27,14,-0.005433413
29,14,-0.005338582
31,14,-0.010132583
33,14,-0.005877103
35,14,-0.01063955
37,14,-0.006208964
39,14,-0.008076265
1,16,-0.001584664
3,16,-0.002646986
5,16,-0.003890904
7,16,-0.003809348
9,16,-0.006259267
11,16,-0.005932079
13,16,-0.006241182
15,16,-0.003551863
17,16,-0.005546822
19,16,-0.006163279
21,16,-0.009256486
23,16,-0.006859081
25,16,-0.007921885
27,16,-0.010616289
29,16,-0.007544465
31,16,-0.006870981
33,16,-0.007127716
35,16,-0.008733792
37,16,-0.010351879
39,16,-0.010848813
1,18,-0.001113879
3,18,-0.003003805
5,18,-0.003815808
7,18,-0.005056278
9,18,-0.004229995
11,18,-0.006135581
13,18,-0.007489668
15,18,-0.007384706
17,18,-0.012248355
19,18,-0.009757895
21,18,-0.005872208
23,18,-0.007857238
25,18,-0.008050017
27,18,-0.011450111
29,18,-0.00749724
31,18,-0.006523883
33,18,-0.007599621
35,18,-0.008598004
37,18,-0.008624032
39,18,-0.012458604
1,20,-0.00113749
3,20,-0.00273506
5,20,-0.004148408
7,20,-0.004863538
9,20,-0.004701893
11,20,-0.007759023
13,20,-0.005052802
15,20,-0.00687481
17,20,-0.006359773
19,20,-0.00359128
21,20,-0.002323206
23,20,-0.009352846
25,20,-0.01156521
27,20,-0.010121546
29,20,-0.007844437
31,20,-0.012002866
33,20,-0.008420737
35,20,-0.01284665
37,20,-0.007655989
39,20,-0.009939889
1,22,-0.001155732
3,22,-0.003175974
5,22,-0.004311225
7,22,-0.005017439
9,22,-0.005006448
11,22,-0.007784702
13,22,-0.005665427
15,22,-0.00698307
17,22,-0.006488414
19,22,-0.008417328
21,22,-0.010219622
23,22,-0.004310427
25,22,-0.007672392
27,22,-0.009253739
29,22,-0.010162875
31,22,-0.010008304
33,22,-0.009040563
35,22,-0.009139409
37,22,-0.013574448
39,22,-0.009811265
1,24,-0.001625735
3,24,-0.003026871
5,24,-0.004364819
7,24,-0.005627123
9,24,-0.007339495
11,24,-0.007131899
13,24,-0.009038018
15,24,-0.010481211
17,24,-0.006937805
19,24,-0.00862166
21,24,-0.011893952
23,24,-0.012465189
25,24,-0.015489665
27,24,-0.009658161
29,24,-0.008551886
31,24,-0.010014015
33,24,-0.010338841
35,24,-0.010708493
37,24,-0.010594954
39,24,-0.010016132
1,26,-0.001622629
3,26,-0.003104705
5,26,-0.005145738
7,26,-0.005716254
9,26,-0.006816815
11,26,-0.005984624
13,26,-0.006158083
15,26,-0.010199976
17,26,-0.008983255
19,26,-0.011651955
21,26,-0.012841607
23,26,-0.010606864
25,26,-0.007397742
27,26,-0.008193314
29,26,-0.01513185
31,26,-0.011376533
33,26,-0.010589679
35,26,-0.010551414
37,26,-0.011969303
39,26,-0.013788683
1,28,-0.001762388
3,28,-0.003843175
5,28,-0.004919123
7,28,-0.005285414
9,28,-0.007493366
11,28,-0.007929459
13,28,-0.008010111
15,28,-0.01018988
17,28,-0.008970027
19,28,-0.012819805
21,28,-0.009051398
23,28,-0.009585435
25,28,-0.008836809
27,28,-0.010088366
29,28,-0.003623193
31,28,-0.009187267
33,28,-0.014215138
35,28,-0.012728203
37,28,-0.010388764
39,28,-0.011801461
1,30,-0.001217441
3,30,-0.003846454
5,30,-0.004993879
7,30,-0.006153019
9,30,-0.007181732
11,30,-0.006627824
13,30,-0.008677548
15,30,-0.009258229
17,30,-0.010275873
19,30,-0.010258922
21,30,-0.01016481
23,30,-0.012251057
25,30,-0.009295943
27,30,-0.010486536
29,30,-0.012429233
31,30,-0.015467085
33,30,-0.016458724
35,30,-0.010226931
37,30,-0.01217267
39,30,-0.013721766
1,32,-0.001538238
3,32,-0.004101419
5,32,-0.004857869
7,32,-0.006173979
9,32,-0.008017561
11,32,-0.008987273
13,32,-0.009290871
15,32,-0.00865566
17,32,-0.011059063
19,32,-0.00817515
21,32,-0.010428905
23,32,-0.010003359
25,32,-0.012139759
27,32,-0.009404117
29,32,-0.011457957
31,32,-0.018785956
33,32,-0.005157886
35,32,-0.017436972
37,32,-0.012768302
39,32,-0.012419126
1,34,-0.001580629
3,34,-0.003275793
5,34,-0.004731756
7,34,-0.006453197
9,34,-0.006333626
11,34,-0.008788981
13,34,-0.009293662
15,34,-0.00994296
17,34,-0.010917357
19,34,-0.01100298
21,34,-0.008728433
23,34,-0.008391264
25,34,-0.011190233
27,34,-0.00981344
29,34,-0.010863837
31,34,-0.01277987
33,34,-0.016707303
35,34,-0.020797233
37,34,-0.009961139
39,34,-0.018797632
1,36,-0.001497159
3,36,-0.003425959
5,36,-0.005210695
7,36,-0.00676388
9,36,-0.00732322
11,36,-0.007229785
13,36,-0.009462407
15,36,-0.010387965
17,36,-0.010860876
19,36,-0.012041164
21,36,-0.015023625
23,36,-0.009381752
25,36,-0.014122161
27,36,-0.014655815
29,36,-0.015353817
31,36,-0.014441447
33,36,-0.013266462
35,36,-0.006796668
37,36,-0.007448059
39,36,-0.026402187
1,38,-0.001244186
3,38,-0.003604384
5,38,-0.005486053
7,38,-0.006846976
9,38,-0.007136052
11,38,-0.008870768
13,38,-0.011285417
15,38,-0.010394344
17,38,-0.010227669
19,38,-0.014212806
21,38,-0.010645845
23,38,-0.015080927
25,38,-0.016671671
27,38,-0.010637787
29,38,-0.013230283
31,38,-0.013619496
33,38,-0.013561455
35,38,-0.014345318
37,38,-0.006638949
39,38,-0.025477529
1,40,-0.001863355
3,40,-0.003257021
5,40,-0.005201932
7,40,-0.006797908
9,40,-0.008587627
11,40,-0.009900414
13,40,-0.009930278
15,40,-0.012658561
17,40,-0.009510009
19,40,-0.013423442
21,40,-0.013250103
23,40,-0.013607861
25,40,-0.015734731
27,40,-0.01326895
29,40,-0.014891384
31,40,-0.010723304
33,40,-0.015903219
35,40,-0.019706664
37,40,-0.016624825
39,40,-0.016956803
